R,CMC_val,CMC_err,CMC_gen_time_s,kostlan_val,kostlan_err,kostlan_gen_time_s,ginibre_val,ginibre_err,ginibre_gen_time_s
10,0.2140946954,0.0959702667,0.0001069210,0.3221679352,0.0121029730,0.0001459440,0.5210206208,0.2109556587,0.0003939890
50,0.2817524864,0.0283124757,0.0000394740,0.3346806698,0.0246157077,0.0000984050,0.2955748516,0.0144901105,0.0012425910
100,0.2593155632,0.0507493989,0.0000525790,0.3492064609,0.0391414987,0.0001013900,0.3158164632,0.0057515010,0.0738465880
200,0.3015785095,0.0084864527,0.0000901790,0.2981365129,0.0119284493,0.0001640980,0.3122398764,0.0021749142,0.0456286310
500,0.3208706155,0.0108056533,0.0000607440,0.3146307557,0.0045657935,0.0001785250,0.3087659032,0.0012990590,0.3360138720
1000,0.3232714611,0.0132064989,0.0000992260,0.3079040441,0.0021609181,0.0002152140,0.3141669270,0.0041019649,1.4523725690
2000,0.3089342990,0.0011306632,0.0001132330,0.3138919650,0.0038270028,0.0002814880,0.3108529727,0.0007880105,5.7073042150
4000,0.3154414419,0.0053764797,0.0001334300,0.3118186295,0.0017536673,0.0004014530,0.3106907377,0.0006257756,34.6548456560
6000,0.3151547021,0.0050897400,0.0001557620,0.3103503004,0.0002853382,0.0005453830,0.3109514481,0.0008864860,104.0262205740
