R,CMC_val,CMC_err,haar_val,haar_err,ginibre_val,ginibre_err
10,3.2000000000,0.0584073464,3.6000000000,0.4584073464,2.8000000000,0.3415926536
50,3.2800000000,0.1384073464,2.7200000000,0.4215926536,2.7200000000,0.4215926536
100,3.3200000000,0.1784073464,3.0800000000,0.0615926536,3.0800000000,0.0615926536
200,3.2600000000,0.1184073464,3.1200000000,0.0215926536,3.0000000000,0.1415926536
500,3.1040000000,0.0375926536,3.3520000000,0.2104073464,3.1200000000,0.0215926536
1000,3.1080000000,0.0335926536,3.1280000000,0.0135926536,3.1120000000,0.0295926536
2000,3.1660000000,0.0244073464,3.1740000000,0.0324073464,3.1360000000,0.0055926536
