R,CMC_val,CMC_err,CMC_gen_time_s,kostlan_val,kostlan_err,kostlan_gen_time_s,ginibre_val,ginibre_err,ginibre_gen_time_s
10,3.2000000000,0.0584073464,0.0001231510,3.2000000000,0.0584073464,0.0005829750,2.4000000000,0.7415926536,0.0044964000
50,3.2800000000,0.1384073464,0.0000699310,3.0400000000,0.1015926536,0.0001028230,3.2800000000,0.1384073464,0.0016457230
100,3.3200000000,0.1784073464,0.0000375300,3.0000000000,0.1415926536,0.0000902600,3.0000000000,0.1415926536,0.0141608710
200,3.2600000000,0.1184073464,0.0001009100,3.1600000000,0.0184073464,0.0001866210,3.1000000000,0.0415926536,0.0477799460
500,3.1040000000,0.0375926536,0.0000626670,3.0560000000,0.0855926536,0.0001609930,3.1200000000,0.0215926536,0.3908708810
1000,3.1080000000,0.0335926536,0.0001158680,3.2120000000,0.0704073464,0.0002142630,3.1120000000,0.0295926536,1.4861842440
2000,3.1660000000,0.0244073464,0.0001150870,3.1060000000,0.0355926536,0.0002745160,3.1460000000,0.0044073464,5.8849309520
4000,3.1290000000,0.0125926536,0.0001502420,3.1430000000,0.0014073464,0.0004200800,3.1360000000,0.0055926536,34.9617761880
