R,CMC_orig,CMC_block,ginibre_orig,ginibre_block,CMC_orig_time,CMC_block_time,ginibre_orig_time,ginibre_block_time
100,3.32,2.84,3.08,2.92,8.480000542476773e-05,0.00010300002759322524,0.010979200014844537,0.0006961000035516918
400,3.18,3.1,3.15,3.0,1.6300007700920105e-05,0.00015670002903789282,0.15515040000900626,0.003193099983036518
900,3.0844444444444443,3.102222222222222,3.1422222222222222,3.066666666666667,4.780001472681761e-05,0.0002654999843798578,0.849890100012999,0.00894440000411123
1600,3.1475,3.2425,3.135,3.035,2.19999928958714e-05,0.00032300001475960016,2.2712930000270717,0.019043900014366955
