size,block_size,seed,cmc_estimate,ginibre_estimate
2500,2,11399,3.1472,2.44
2500,2500,959058,3.1664,3.1328
2500,50,959058,3.1824,3.0736
2500,2,959058,3.1392,2.4768
2500,2500,743974,3.1456,3.1312
2500,50,743974,3.1296,3.0816
2500,2,743974,3.1264,2.4752
2500,2500,496931,3.1776,3.1456
2500,50,496931,3.216,3.0944
2500,2,496931,3.1264,2.4048
2500,2500,452488,3.152,3.1392
2500,50,452488,3.1536,3.0608
2500,2,452488,3.152,2.4672
2500,2500,932572,3.0944,3.136
2500,50,932572,3.136,3.072
2500,2,932572,3.1248,2.4576
2500,2500,241825,3.1696,3.128
2500,50,241825,3.1696,3.0656
2500,2,241825,3.1696,2.4144
2500,2500,266175,3.1584,3.1584
2500,50,266175,3.104,3.1152
2500,2,266175,3.0768,2.4272
2500,2500,533376,3.1744,3.1184
2500,50,533376,3.1104,3.064
2500,2,533376,3.1232,2.384
2500,2500,892608,3.1824,3.1424
2500,50,892608,3.1552,3.1056
2500,2,892608,3.1584,2.4752
2500,2500,285785,3.1504,3.1408
2500,50,285785,3.1472,3.0512
2500,2,285785,3.1776,2.448
2500,2500,706815,3.136,3.1424
2500,50,706815,3.144,2.9952
2500,2,706815,3.1648,2.4464
2500,2500,700297,3.0784,3.152
2500,50,700297,3.1008,3.0816
2500,2,700297,3.1424,2.4112
2500,2500,856442,3.0848,3.1264
2500,50,856442,3.1504,3.0624
2500,2,856442,3.1376,2.4176
2500,2500,499606,3.144,3.1424
2500,50,499606,3.1504,3.072
2500,2,499606,3.1984,2.4304
2500,2500,114563,3.1696,3.128
2500,50,114563,3.0608,3.0848
2500,2,114563,3.1968,2.4128
2500,2500,468982,3.1664,3.1296
2500,50,468982,3.1216,3.1152
2500,2,468982,3.1568,2.368
2500,2500,744133,3.12,3.1424
2500,50,744133,3.144,3.0656
2500,2,744133,3.1248,2.4048
2500,2500,365277,3.1776,3.1552
2500,50,365277,3.2192,3.0432
2500,2,365277,3.1776,2.4912
2500,2500,70429,3.1616,3.1248
2500,50,70429,3.1536,3.072
2500,2,70429,3.136,2.4304
2500,2500,589365,3.1104,3.1328
2500,50,589365,3.0976,3.064
2500,2,589365,3.096,2.4304
2500,2500,686860,3.1248,3.136
2500,50,686860,3.1616,3.0288
2500,2,686860,3.1472,2.4928
2500,2500,819704,3.184,3.144
2500,50,819704,3.1456,3.0576
2500,2,819704,3.12,2.4144
2500,2500,498199,3.0992,3.1552
2500,50,498199,3.12,3.0464
2500,2,498199,3.1312,2.4272
2500,2500,170523,3.1616,3.1232
2500,50,170523,3.1216,3.0384
2500,2,170523,3.1552,2.4224
2500,2500,296172,3.1072,3.1456
2500,50,296172,3.1488,3.0208
2500,2,296172,3.1152,2.3968
2500,2500,671685,3.1296,3.1296
2500,50,671685,3.0928,3.0672
2500,2,671685,3.1536,2.4496
2500,2500,902256,3.1232,3.1344
2500,50,902256,3.1264,3.0576
2500,2,902256,3.208,2.4352
2500,2500,576349,3.0768,3.1248
2500,50,576349,3.144,3.0256
2500,2,576349,3.0896,2.4432
2500,2500,243856,3.1088,3.1328
2500,50,243856,3.1184,3.0752
